                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85657,                 2.7129,                 1.2788,                0.86064,                  0.674,                0.77111,                0.64163,                0.77135,                  1.489,                 1.1999,              0.0033051,              0.0033051,              0.0033051
                      1,                0.75019,                  1.121,                  1.184,                0.78781,                 0.8313,                0.85388,                0.69277,                0.74004,                0.95536,                 1.1503,              0.0066253,              0.0066253,              0.0066253
                      2,                0.82606,                  1.121,                 1.2215,                0.58727,                0.57877,                0.59484,                 0.4035,                 1.2442,                  1.931,                 1.6646,              0.0099323,              0.0099323,              0.0099323
                      3,                0.93205,                 1.2354,                 1.2805,                0.67465,                 0.4592,                0.54164,                0.31797,                 1.5124,                 2.1392,                  2.024,              0.0099406,              0.0099406,              0.0099406
                      4,                0.97379,                 1.2539,                 1.3121,                0.71509,                0.66244,                0.71577,                0.52966,                  1.066,                 1.6022,                 1.4197,              0.0099406,              0.0099406,              0.0099406
                      5,                0.96098,                 1.1959,                 1.2988,                0.72634,                0.64465,                0.70287,                0.49046,                 1.1669,                 1.4661,                 1.5452,              0.0099208,              0.0099208,              0.0099208
                      6,                0.95893,                  1.174,                 1.3038,                 0.8215,                0.63117,                 0.7596,                0.55573,                 1.0594,                 1.3994,                 1.4383,               0.009901,               0.009901,               0.009901
                      7,                0.93605,                  1.142,                 1.2835,                 0.8042,                0.66973,                0.75472,                0.57542,                0.99981,                 1.2668,                 1.3512,              0.0098812,              0.0098812,              0.0098812
                      8,                0.93319,                 1.1074,                 1.2787,                 0.7869,                0.66166,                0.74502,                0.57581,                0.96289,                 1.3771,                 1.3586,              0.0098614,              0.0098614,              0.0098614
                      9,                0.91748,                 1.0637,                 1.2662,                0.87083,                0.75454,                0.82529,                0.64199,                0.95875,                 1.1233,                 1.3319,              0.0098416,              0.0098416,              0.0098416
